Class      | Recall  | Precision | F1 Score | Accuracy
-------------------------------------------------------
Epoch 1
PLM        | 0.8486 | 0.8471 | 0.8469 | 0.8486
PMO        | 0.8486 | 0.8471 | 0.8469 | 0.8486

Epoch 19
ABE        | 0.8430 | 0.8448 | 0.8429 | 0.8430
ART        | 0.8430 | 0.8448 | 0.8429 | 0.8430
BAS        | 0.8430 | 0.8448 | 0.8429 | 0.8430
BLA        | 0.8430 | 0.8448 | 0.8429 | 0.8430
EBO        | 0.8430 | 0.8448 | 0.8429 | 0.8430
EOS        | 0.8430 | 0.8448 | 0.8429 | 0.8430
FGC        | 0.8430 | 0.8448 | 0.8429 | 0.8430
HAC        | 0.8430 | 0.8448 | 0.8429 | 0.8430
KSC        | 0.8430 | 0.8448 | 0.8429 | 0.8430
LYI        | 0.8430 | 0.8448 | 0.8429 | 0.8430
LYT        | 0.8430 | 0.8448 | 0.8429 | 0.8430
MMZ        | 0.8430 | 0.8448 | 0.8429 | 0.8430
MON        | 0.8430 | 0.8448 | 0.8429 | 0.8430
MYB        | 0.8430 | 0.8448 | 0.8429 | 0.8430
NGB        | 0.8430 | 0.8448 | 0.8429 | 0.8430
NGS        | 0.8430 | 0.8448 | 0.8429 | 0.8430
NIF        | 0.8430 | 0.8448 | 0.8429 | 0.8430
OTH        | 0.8430 | 0.8448 | 0.8429 | 0.8430
PEB        | 0.8430 | 0.8448 | 0.8429 | 0.8430
PLM        | 0.8430 | 0.8448 | 0.8429 | 0.8430
PMO        | 0.8430 | 0.8448 | 0.8429 | 0.8430

Epoch 20
ABE        | 0.8421 | 0.8413 | 0.8405 | 0.8421
ART        | 0.8421 | 0.8413 | 0.8405 | 0.8421
BAS        | 0.8421 | 0.8413 | 0.8405 | 0.8421
BLA        | 0.8421 | 0.8413 | 0.8405 | 0.8421
EBO        | 0.8421 | 0.8413 | 0.8405 | 0.8421
EOS        | 0.8421 | 0.8413 | 0.8405 | 0.8421
FGC        | 0.8421 | 0.8413 | 0.8405 | 0.8421
HAC        | 0.8421 | 0.8413 | 0.8405 | 0.8421
KSC        | 0.8421 | 0.8413 | 0.8405 | 0.8421
LYI        | 0.8421 | 0.8413 | 0.8405 | 0.8421
LYT        | 0.8421 | 0.8413 | 0.8405 | 0.8421
MMZ        | 0.8421 | 0.8413 | 0.8405 | 0.8421
MON        | 0.8421 | 0.8413 | 0.8405 | 0.8421
MYB        | 0.8421 | 0.8413 | 0.8405 | 0.8421
NGB        | 0.8421 | 0.8413 | 0.8405 | 0.8421
NGS        | 0.8421 | 0.8413 | 0.8405 | 0.8421
NIF        | 0.8421 | 0.8413 | 0.8405 | 0.8421
OTH        | 0.8421 | 0.8413 | 0.8405 | 0.8421
PEB        | 0.8421 | 0.8413 | 0.8405 | 0.8421
PLM        | 0.8421 | 0.8413 | 0.8405 | 0.8421
PMO        | 0.8421 | 0.8413 | 0.8405 | 0.8421

Epoch 21
ABE        | 0.8460 | 0.8427 | 0.8430 | 0.8460
ART        | 0.8460 | 0.8427 | 0.8430 | 0.8460
BAS        | 0.8460 | 0.8427 | 0.8430 | 0.8460
BLA        | 0.8460 | 0.8427 | 0.8430 | 0.8460
EBO        | 0.8460 | 0.8427 | 0.8430 | 0.8460
